Country,ISO_Code,GNI/C 2010,GNI/C 2011,GNI/C 2012,GNI/C 2013,GNI/C 2014,GNI/C 2015,GNI/C 2016,GNI/C 2017,GNI/C 2018
Afghanistan,AFG,1.675,1.625,1.776,1.814,1.796,1.783,1.766,1.767,1.746
Albania,ALB,9.828,10.21,10.29,10.67,10.8,11.1,11.53,11.83,12.3
Algeria,DZA,12.95,12.91,12.91,12.95,13.17,13.33,13.83,13.66,13.64
Andorra,AND,43.06,41.4,41.39,42.38,44.2,45.26,46.55,47.55,48.64
Angola,AGO,5.818,5.796,6.128,6.294,6.484,6.44,6.051,5.95,5.555
Antigua and Barbuda,ATG,20.1,19.26,19.53,19.28,19.78,20.28,20.91,21.35,22.2
Argentina,ARG,18.28,19.25,18.94,19.23,18.56,18.9,18.25,18.46,17.61
Armenia,ARM,7.061,7.269,7.793,8.169,8.301,8.482,8.31,9.064,9.277
Australia,AUS,39.98,40.28,41.57,42.2,42.59,43.25,43.65,43.76,44.1
Austria,AUT,43.7,44.6,44.6,44.42,44.31,43.82,44.62,45.38,46.23
Azerbaijan,AZE,15.43,14.68,15.06,15.85,16.44,16.26,15.15,15.31,15.24
Bahamas,BHS,29.09,28.95,29.75,29.37,28.66,28.76,27.79,28.07,28.4
Bahrain,BHR,37.25,35.45,36.15,37.64,36.62,42.13,41.5,41.65,40.4
Bangladesh,BGD,2.723,2.861,3.025,3.158,3.27,3.439,3.62,3.792,4.057
Barbados,BRB,15.87,15.28,15.73,15.62,15.58,15.64,15.88,16.03,15.91
Belarus,BLR,15.98,16.82,17.07,17.01,17.37,16.45,16,16.54,17.04
Belgium,BEL,42.39,41.7,42.13,41.69,41.63,41.6,42.26,43.3,43.82
Belize,BLZ,7.109,7.318,7.274,7.185,7.235,7.523,7.272,7.059,7.136
Benin,BEN,1.805,1.817,1.84,1.919,1.988,1.971,2.001,2.055,2.135
Bhutan,BTN,6.435,6.814,6.961,7.096,7.41,7.807,8.202,8.472,8.609
Bolivia,BOL,5.111,5.257,5.36,5.627,5.932,6.26,6.535,6.64,6.849
Bosnia Herzegovina,BIH,9.923,10.06,10.13,10.6,10.86,11.35,11.81,12.22,12.69
Botswana,BWA,12.67,14.04,14.58,15.33,15.82,15.41,15.35,15.6,15.95
Brazil,BRA,14.19,14.67,14.89,15.35,15.18,14.49,13.91,13.98,14.07
Brunei Darussalam,BRN,80.39,80.28,80.2,78.73,76.78,79.11,77.49,77.19,76.39
Bulgaria,BGR,14.98,15.18,15.57,15.6,16.19,16.66,17.76,18.87,19.65
Burkina Faso,BFA,1.389,1.418,1.494,1.538,1.538,1.545,1.582,1.64,1.705
Burundi,BDI,0.73,0.733,0.746,0.761,0.767,0.715,0.689,0.67,0.66
Cambodia,KHM,2.41,2.534,2.657,2.836,2.959,3.085,3.248,3.418,3.597
Cameroon,CMR,2.848,2.884,2.919,2.982,3.108,3.178,3.229,3.25,3.291
Canada,CAN,40,40.88,41.2,41.82,42.55,42.57,42.69,43.5,43.6
Cape Verde,CPV,5.68,5.863,5.832,5.85,5.721,5.782,5.989,6.164,6.513
Central African Republic CAR,CAF,0.987,1.02,1.068,0.681,0.679,0.706,0.732,0.756,0.777
Chad,TCD,1.85,1.805,1.902,1.899,1.971,1.999,1.836,1.736,1.716
Chili,CHL,17.99,19.11,20.25,20.96,21.3,21.65,21.78,21.42,21.97
China,CHN,9.458,10.26,11.09,11.82,12.74,13.49,14.31,15.21,16.13
Colombia,COL,10.57,11.15,11.54,12,12.51,12.95,13.09,12.96,12.9
Comoros,COM,2.424,2.463,2.479,2.534,2.529,2.504,2.504,2.515,2.426
Congo Brazzaville,COG,4.051,3.976,4.742,5.108,5.942,7.631,6.765,6.068,5.804
Congo Democratic Republic,COD,0.634,0.648,0.665,0.669,0.712,0.749,0.794,0.787,0.8
Costa Rica,CRI,12.49,12.85,13.34,13.41,13.65,13.95,14.39,14.62,14.79
Cote d'Ivoire,CIV,2.573,2.398,2.609,2.741,2.962,3.126,3.387,3.426,3.589
Croatia,HRV,20.18,20.19,19.74,19.89,19.96,20.89,21.22,22.43,23.06
Cuba,CUB,6.601,6.821,7.022,7.208,7.258,7.567,7.597,7.726,7.811
Cyprus,CYP,32.88,33.15,30.72,28.73,28.91,31.06,31.36,32.22,33.1
Czech Republic,CZE,26.24,26.62,26.76,26.67,27.12,28.5,29.21,30.53,31.6
Denmark,DNK,44.73,45.34,45.34,45.98,46.71,47.21,47.73,48.34,48.84
Djibouti,DJI,2.494,2.562,2.638,2.823,3.003,3.231,3.431,3.469,3.601
Dominica,DMA,10.07,10.03,9.746,9.777,10.16,9.804,10.18,9.218,9.245
Dominican Republic,DOM,10.96,11.14,11.29,11.61,12.33,13.13,13.8,14.2,15.07
