Country,2010_3BD,2011_3BD,2012_3BD,2013_3BD,2014_3BD,2015_3BD,2016_3BD,2017_3BD,2018_3BD,2019_3BD,2020_3BD
Afghanistan,42.1,43.4,44.7,46.1,47.4,48.7,50.1,51.4,52.7,54.1,55.4
Albania,23.2,22.8,22.3,21.9,21.5,21.1,20.7,20.3,19.9,19.4,19
Algeria,40.3,40.2,40.1,40,40.8,41.5,42.3,43,43.7,44.5,45.2
Angola,22.9,23.7,24.4,25.1,25.8,26.5,27.2,27.8,28.5,29.2,29.9
Argentina,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9
Armenia,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
Azerbaijan,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
Bangladesh,27.1,27.7,28.3,28.9,29.5,29.2,28.9,28.5,28.2,27.9,27.6
Barbados,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
Belarus,10.9,10.9,10.9,10.8,10.8,10.8,10.7,10.7,10.7,10.6,10.6
Belize,32.8,33.2,33.6,33.9,34.3,34.7,35.1,35.5,35.9,36.3,36.7
Benin,22.4,21.3,22.2,23.1,24,24.8,25.7,26.6,27.5,28.3,29.2
Bhutan,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
Bolivia,17.1,17.3,17.5,17.7,18,18.2,18.4,18.6,18.8,19,19.2
Bosnia Herzegovina,32.2,33.9,35.7,37.4,39.1,40.9,42.6,44.3,46,47.8,49.5
Botswana,17.7,17.7,17.7,17.8,17.8,17.8,17.9,17.9,17.9,17.9,18
Brazil,25.6,25.6,25.6,25.5,25.5,25.5,25.4,25.4,25.4,25.3,25.3
Burkina Faso,39.9,39.1,38.4,37.6,36.9,36.1,35.4,34.6,33.9,33.2,32.4
Burundi,37.8,37.5,37.2,36.8,36.5,36.2,35.8,35.5,35.2,34.8,34.5
Cambodia,7.86,8.84,9.83,10.8,11.8,12.8,13.8,14.7,15.7,16.7,17.7
Cameroon,40.9,41.2,40.9,40.5,40.2,39.8,39.5,39.1,38.8,38.4,38.1
Central African Republic CAR,39.7,39.7,39.6,39.6,39.5,39.5,39.4,39.4,39.3,39.3,39.2
Chad,26.3,26.7,27.2,27.6,28.1,28.5,31.4,34.3,37.1,40,42.2
Chili,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2
China,53.7,52.3,50.8,49.3,49.4,49.5,49.6,49.7,49.8,49.9,50
Colombia,39.8,41,42.2,43.4,44.6,45.8,46.9,48.1,49.3,50.5,51.7
Comoros,36,35.8,35.7,35.5,35.4,35.3,35.1,35,34.8,34.7,34.6
Congo Brazzaville,21,18.6,20,21.3,22.6,24,25.3,26.6,28,29.3,30.6
Congo Democratic Republic,29.5,29.9,30.3,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.6
