Country,ISO_Code,GNI/C 2010,GNI/C 2011,GNI/C 2012,GNI/C 2013,GNI/C 2014,GNI/C 2015,GNI/C 2016,GNI/C 2017,GNI/C 2018,GNI/C 2019,GNI/C 2020
Albania,ALB,9.83,10.2,10.3,10.7,10.8,11.1,11.5,11.8,12.3,12.8,13.2
Angola,AGO,5.82,5.8,6.13,6.29,6.48,6.44,6.05,5.95,5.55,5.43,5.31
Armenia,ARM,7.06,7.27,7.79,8.17,8.3,8.49,8.31,9.06,9.27,9.49,9.7
Azerbaijan,AZE,15.4,14.7,15.1,15.9,16.4,16.3,15.2,15.3,15.2,15.2,15.1
Bangladesh,BGD,2.72,2.86,3.03,3.16,3.27,3.44,3.62,3.79,4.06,4.32,4.58
Benin,BEN,1.8,1.82,1.84,1.92,1.99,1.97,2,2.06,2.14,2.22,2.3
Bolivia,BOL,5.11,5.26,5.36,5.63,5.93,6.26,6.54,6.64,6.85,7.06,7.27
Brazil,BRA,14.2,14.7,14.9,15.4,15.2,14.5,13.9,14,14.1,14.2,14.3
Burkina Faso,BFA,1.39,1.42,1.49,1.54,1.54,1.55,1.58,1.64,1.71,1.77,1.84
Burundi,BDI,0.73,0.73,0.75,0.76,0.77,0.72,0.69,0.67,0.66,0.65,0.64
Cambodia,KHM,2.41,2.53,2.66,2.84,2.96,3.08,3.25,3.42,3.6,3.78,3.96
Cameroon,CMR,2.85,2.88,2.92,2.98,3.11,3.18,3.23,3.25,3.29,3.33,3.38
Central African Republic CAR,CAF,0.99,1.02,1.07,0.68,0.68,0.71,0.73,0.76,0.78,0.8,0.82
Chad,TCD,1.85,1.8,1.9,1.9,1.97,2,1.84,1.74,1.72,1.7,1.68
Colombia,COL,10.6,11.1,11.5,12,12.5,13,13.1,13,12.9,12.8,12.8
Comoros,COM,2.42,2.46,2.48,2.54,2.53,2.51,2.51,2.52,2.43,2.37,2.32
Congo Brazzaville,COG,4.05,3.98,4.74,5.11,5.94,7.63,6.76,6.07,5.8,5.68,5.55
Congo Democratic Republic,COD,0.64,0.65,0.67,0.67,0.71,0.75,0.79,0.79,0.8,0.81,0.83
Cote d'Ivoire,CIV,2.57,2.4,2.61,2.74,2.96,3.13,3.39,3.43,3.59,3.76,3.92
Dominican Republic,DOM,11,11.1,11.3,11.6,12.3,13.1,13.8,14.2,15.1,16,16.8
Egypt,EGY,9.83,9.73,9.75,9.71,9.79,10.1,10.3,10.5,10.7,11,11.3
Eritrea,ERI,1.94,2.08,1.57,1.61,1.63,1.63,1.63,1.67,1.71,1.75,1.78
Eswatini,SWZ,7.82,8.32,8.67,9.28,9.33,9.36,9.46,9.4,9.36,9.32,9.28
Ethiopia,ETH,1.07,1.16,1.22,1.32,1.41,1.51,1.61,1.72,1.78,1.85,1.91
Gabon,GAB,14,13.8,15,15.5,16.9,16.3,16.3,16.2,15.8,15.4,15.1
Gambia,GMB,1.5,1.39,1.43,1.47,1.41,1.45,1.42,1.44,1.49,1.54,1.59
Ghana,GHA,2.98,3.27,3.41,3.69,3.66,3.74,3.76,3.94,4.1,4.25,4.4
Guatemala,GTM,6.54,6.63,6.75,6.87,6.97,7.13,7.2,7.28,7.38,7.47,7.57
Guinea,GIN,1.56,1.6,1.68,1.72,1.78,1.8,1.97,2.2,2.21,2.22,2.23
Guyana,GUY,5.79,6.09,6.4,6.62,6.84,7.03,7.3,7.44,7.62,7.79,7.96
Haiti,HTI,1.51,1.58,1.6,1.64,1.67,1.66,1.67,1.66,1.67,1.67,1.67
Honduras,HND,3.73,3.76,3.8,3.82,3.84,3.96,4.03,4.15,4.26,4.37,4.49
India,IND,4.4,4.58,4.76,5,5.31,5.68,6.08,6.45,6.83,7.21,7.6
Jordan,JOR,9.3,9.05,8.76,8.58,8.43,8.31,8.25,8.25,8.27,8.28,8.3
Kazakhstan,KAZ,17.9,18.2,19.2,21,21.7,23.2,22.1,22,22.2,22.3,22.4
