Country,2010_HOS,2011_HOS,2012_HOS,2013_HOS,2014_HOS,2015_HOS,2016_HOS,2017_HOS,2018_HOS,2019_HOS,2020_HOS
Afghanistan,9.28,9.39,9.49,9.6,9.7,9.81,9.92,10,10.1,10.2,10.3
Albania,4.58,4.51,4.44,4.37,4.3,4.23,4.16,4.09,4.02,3.95,3.88
Algeria,6.64,6.56,6.47,6.38,6.28,6.18,6.09,5.99,5.89,5.79,5.69
Angola,6.3,6.31,6.33,6.35,6.36,6.38,6.4,6.42,6.44,6.45,6.47
Argentina,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32
Armenia,4.55,4.55,4.55,4.55,4.54,4.54,4.54,4.54,4.54,4.54,4.53
Azerbaijan,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02
Bangladesh,6.09,5.97,5.86,5.74,5.62,5.5,5.38,5.27,5.15,5.03,4.91
Barbados,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
Belarus,3.12,3.09,3.07,3.05,3.02,3,2.98,2.96,2.93,2.91,2.89
Belize,5.37,5.29,5.21,5.13,5.06,4.98,4.9,4.82,4.74,4.67,4.59
Benin,6.82,6.74,6.86,6.97,7.09,7.21,7.33,7.44,7.56,7.68,7.79
Bhutan,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
Bolivia,4.95,4.86,4.78,4.7,4.62,4.54,4.45,4.37,4.29,4.21,4.13
Bosnia Herzegovina,4.18,4.22,4.26,4.3,4.35,4.39,4.43,4.47,4.51,4.56,4.6
Botswana,5.75,5.67,5.77,5.86,5.96,6.05,6.15,6.24,6.34,6.43,6.53
Brazil,4.15,4.09,4.04,3.98,3.92,3.87,3.81,3.75,3.69,3.64,3.58
Burkina Faso,7.82,7.56,7.31,7.05,6.8,6.54,6.29,6.03,5.77,5.52,5.26
Burundi,5.97,5.97,5.97,5.97,5.96,5.96,5.96,5.96,5.96,5.96,5.96
Cambodia,5.66,5.63,5.6,5.57,5.54,5.51,5.48,5.45,5.42,5.39,5.36
Cameroon,7.54,7.53,7.55,7.58,7.6,7.63,7.65,7.68,7.7,7.72,7.75
Cape Verde,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
Central African Republic CAR,6.48,6.57,6.66,6.75,6.84,6.93,7.02,7.11,7.2,7.29,7.38
Chad,7.37,7.47,7.57,7.68,7.78,7.88,7.87,7.85,7.84,7.82,7.81
Chili,2.59,2.48,2.37,2.27,2.16,2.05,1.94,1.84,1.73,1.62,1.51
China,4.17,4.19,4.26,4.32,4.34,4.36,4.38,4.4,4.42,4.44,4.46
Colombia,4.89,4.82,4.75,4.67,4.6,4.53,4.46,4.39,4.31,4.24,4.17
Comoros,7.01,6.95,6.89,6.83,6.77,6.72,6.66,6.6,6.54,6.48,6.43
Congo Brazzaville,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66
Congo Democratic Republic,6.78,6.82,6.86,6.9,6.86,6.83,6.79,6.76,6.72,6.68,6.65
Costa Rica,4.52,4.45,4.38,4.31,4.24,4.17,4.1,4.03,3.96,3.89,3.82
Cote d'Ivoire,7.7,7.53,7.36,7.18,7.01,6.84,6.66,6.49,6.32,6.14,5.97
Cuba,3.89,3.84,3.79,3.75,3.7,3.65,3.6,3.56,3.51,3.46,3.41
Djibouti,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26
Dominican Republic,4.67,4.64,4.6,4.57,4.54,4.5,4.47,4.44,4.4,4.37,4.34
Ecuador,3.16,3.09,3.02,2.95,2.87,2.8,2.73,2.66,2.58,2.51,2.44
Egypt,5.71,5.57,5.42,5.27,5.12,4.97,4.82,4.68,4.53,4.38,4.23
El Salvador,3.1,3.06,3.02,3.94,4.86,5.78,6.7,7.62,8.54,9.46,10.4
Equatorial Guinea,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Eritrea,6.6,6.65,6.71,6.76,6.82,6.87,6.93,6.99,7.04,7.1,7.15
Eswatini,6.5,6.41,6.31,6.22,6.12,6.03,5.93,5.84,5.74,5.65,5.55
Ethiopia,5.98,5.94,5.92,5.9,5.87,5.85,5.83,5.81,5.79,5.76,5.74
Fiji,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07
Gabon,6.9,6.72,6.55,6.38,6.21,6.03,5.86,5.69,5.52,5.34,5.17
Gambia,13.1,13.4,13.6,13.8,13.7,13.7,13.6,13.6,13.5,13.5,13.4
Georgia,4.54,4.53,4.52,4.51,4.49,4.48,4.47,4.45,4.44,4.43,4.41
Ghana,5.45,5.46,5.37,5.27,5.18,5.56,5.93,6.31,6.69,7.06,7.44
Guatemala,3.64,3.64,3.65,4.46,5.26,6.07,6.88,7.68,8.49,9.3,10.1
Guinea,8.45,8.47,8.49,8.43,8.37,8.32,8.26,8.2,8.14,8.08,8.02
Guinea Bissau,9.79,9.79,9.8,9.8,9.81,9.7,9.59,9.48,9.37,9.26,9.15
Guyana,5.05,5.03,5.02,5,4.99,4.98,4.96,4.95,4.93,4.92,4.91
