Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,61,61.6,62.1,62.5,63,63.4,63.8,64.1,64.5,64.8,65.2
Albania,76.6,76.9,77.3,77.6,77.8,78,78.2,78.3,78.5,78.6,78.7
Algeria,74.9,75.2,75.4,75.7,75.9,76.1,76.3,76.5,76.7,76.9,77.1
Angola,55.4,56.3,57.2,58.1,58.8,59.4,59.9,60.4,60.8,61.2,61.6
Argentina,75.3,75.4,75.6,75.8,75.9,76.1,76.2,76.4,76.5,76.7,76.8
Armenia,73.3,73.6,73.8,74.1,74.3,74.5,74.6,74.8,74.9,75.1,75.2
Azerbaijan,70.9,71.2,71.5,71.8,72,72.3,72.5,72.7,72.9,73,73.2
Bangladesh,69.9,70.3,70.6,70.9,71.2,71.5,71.8,72.1,72.3,72.6,72.9
Barbados,78.4,78.5,78.5,78.6,78.7,78.8,78.9,79,79.1,79.2,79.3
Belarus,70.8,71.4,72.1,72.7,73.2,73.7,74,74.3,74.6,74.8,75.1
Belize,72.1,72.6,73,73.5,73.8,74,74.2,74.4,74.5,74.6,74.8
Benin,59.3,59.6,59.8,60.1,60.3,60.6,60.9,61.2,61.5,61.8,62.1
Bhutan,68.4,68.8,69.3,69.7,70,70.4,70.8,71.1,71.5,71.8,72.1
Bolivia,68,68.5,69,69.5,69.9,70.3,70.6,70.9,71.2,71.5,71.8
Bosnia Herzegovina,76,76.2,76.4,76.6,76.7,76.9,77,77.1,77.3,77.4,77.5
Botswana,60.2,61.9,63.5,65,66.3,67.3,68.2,68.8,69.3,69.7,70.2
Brazil,73.6,73.9,74.2,74.5,74.7,75,75.2,75.5,75.7,75.9,76.1
Burkina Faso,57.1,57.8,58.4,58.9,59.5,59.9,60.4,60.8,61.2,61.6,62
Burundi,57.2,57.9,58.6,59.1,59.7,60.1,60.5,60.9,61.2,61.6,61.9
Cambodia,66.6,67,67.5,67.9,68.3,68.6,69,69.3,69.6,69.9,70.1
Cameroon,55.1,55.6,56.1,56.6,57.1,57.6,58.1,58.5,58.9,59.3,59.7
Cape Verde,71.1,71.2,71.4,71.7,71.9,72.1,72.3,72.6,72.8,73,73.2
Central African Republic CAR,47.3,48,48.6,49.4,50.1,50.9,51.6,52.2,52.8,53.4,53.9
Chad,50.9,51.4,51.9,52.4,52.8,53.1,53.4,53.7,54,54.2,54.5
Chili,78.8,79,79.2,79.3,79.5,79.6,79.8,79.9,80,80.2,80.3
China,74.4,74.7,75,75.3,75.6,75.9,76.2,76.5,76.7,76.9,77.2
Colombia,75.4,75.7,75.9,76.1,76.3,76.5,76.7,76.9,77.1,77.3,77.5
Comoros,61.9,62.2,62.6,62.9,63.2,63.5,63.7,63.9,64.1,64.3,64.5
Congo Brazzaville,60.1,60.8,61.4,62,62.6,63.1,63.6,64,64.3,64.6,65
Congo Democratic Republic,56.9,57.4,57.9,58.4,58.8,59.3,59.7,60,60.4,60.7,61.1
Costa Rica,78.8,78.9,79.1,79.2,79.4,79.6,79.7,79.9,80.1,80.3,80.5
Cote d'Ivoire,53,53.6,54.3,54.9,55.5,56.1,56.6,57,57.4,57.8,58.2
Cuba,78.3,78.4,78.4,78.5,78.5,78.6,78.6,78.7,78.7,78.8,78.9
Djibouti,60.1,60.7,61.4,62.2,63.2,64.1,65.1,65.9,66.6,67.3,68
Dominican Republic,72,72.3,72.5,72.8,73,73.2,73.5,73.7,73.9,74.1,74.3
Ecuador,75.1,75.3,75.5,75.7,75.9,76.1,76.4,76.6,76.8,77,77.2
Egypt,70.3,70.5,70.7,70.9,71.1,71.3,71.5,71.7,71.8,72,72.2
El Salvador,71.2,71.4,71.7,71.9,72.2,72.4,72.6,72.9,73.1,73.3,73.5
Equatorial Guinea,55.6,55.9,56.3,56.6,57,57.4,57.7,58.1,58.4,58.7,59.1
Eritrea,62.2,62.7,63.2,63.7,64.2,64.7,65.1,65.5,65.9,66.3,66.7
Eswatini,46.6,48.1,49.9,51.7,53.6,55.4,57,58.3,59.4,60.5,61.6
Ethiopia,61.6,62.5,63.3,64,64.5,65,65.5,65.9,66.2,66.6,67
Fiji,66.7,66.8,66.9,67,67,67.1,67.2,67.3,67.3,67.4,67.5
Gabon,61.4,62.2,62.9,63.6,64.3,64.9,65.4,65.8,66.2,66.5,66.9
Gambia,59.6,59.9,60.2,60.4,60.7,60.9,61.2,61.4,61.7,62,62.3
Georgia,71.5,71.8,72.1,72.4,72.7,73,73.2,73.4,73.6,73.8,74
Ghana,61,61.4,61.7,62.1,62.4,62.8,63.1,63.5,63.8,64.1,64.4
Guatemala,71.5,71.9,72.2,72.6,72.9,73.3,73.5,73.8,74.1,74.3,74.6
Guinea,56.9,57.4,57.9,58.4,59,59.6,60.2,60.7,61.2,61.7,62.1
Guinea Bissau,54.6,55.1,55.6,56.1,56.6,57,57.3,57.7,58,58.3,58.7
Guyana,68.1,68.3,68.6,68.8,69,69.3,69.5,69.6,69.8,69.9,70.1
Haiti,60.5,60.9,61.3,61.7,62.1,62.5,62.9,63.3,63.7,64,64.4
Honduras,73.3,73.6,73.8,74.1,74.3,74.5,74.7,74.9,75.1,75.3,75.5
India,66.7,67.1,67.5,67.9,68.3,68.6,68.9,69.2,69.4,69.7,69.9
Indonesia,69.2,69.5,69.9,70.2,70.5,70.8,71,71.3,71.5,71.7,72
Iran,73.9,74.4,74.8,75.2,75.5,75.8,76,76.3,76.5,76.7,76.9
Iraq,68.6,68.8,69.1,69.4,69.7,69.9,70.1,70.3,70.5,70.6,70.8
Jamaica,74,74,74,74,74,74.1,74.2,74.3,74.4,74.5,74.6
Jordan,73.4,73.6,73.7,73.9,74,74.1,74.2,74.3,74.4,74.5,74.6
Kazakhstan,67.4,68,68.8,69.6,70.5,71.3,72.1,72.7,73.2,73.7,74.3
Kenya,61,61.9,62.7,63.4,64.1,64.8,65.4,65.9,66.3,66.8,67.2
Kiribati,65.8,66.1,66.4,66.7,67,67.3,67.6,67.9,68.1,68.4,68.6
Kosovo,69.9,70.1,70.5,70.8,71.1,71.3,71.6,71.9,72.2,72.5,72.8
Kuwait,74.4,74.6,74.7,74.9,75,75.1,75.2,75.3,75.4,75.5,75.6
Kyrgyzstan,68.8,69.4,69.9,70.3,70.6,70.9,71.1,71.2,71.3,71.4,71.6
Lao,64.3,64.8,65.3,65.7,66.1,66.5,66.9,67.3,67.6,67.9,68.3
Lebanon,78.4,78.5,78.6,78.7,78.7,78.8,78.8,78.8,78.9,78.9,79
Lesotho,45.1,46.2,47.4,48.7,49.9,51,52.1,52.9,53.7,54.5,55.2
Liberia,59.6,60.1,60.7,61.2,61.7,62.3,62.8,63.3,63.7,64.2,64.6
Libya,72,72,71.9,71.9,72,72.1,72.3,72.5,72.7,72.9,73.1
Madagascar,63.4,63.8,64.3,64.7,65.1,65.5,65.9,66.3,66.7,67.1,67.4
Malawi,55.6,57.2,58.6,59.9,61,62,62.7,63.3,63.8,64.3,64.8
Malaysia,74.5,74.7,74.9,75.1,75.3,75.5,75.6,75.8,76,76.2,76.3
Maldives,75.9,76.3,76.7,77,77.4,77.7,78,78.3,78.6,78.9,79.2
Mali,55.3,55.7,56.1,56.6,57,57.5,58,58.5,58.9,59.3,59.8
Mauritania,62.5,62.8,63.1,63.4,63.7,63.9,64.2,64.5,64.7,64.9,65.2
Mauritius,73.5,73.7,74,74.2,74.4,74.5,74.6,74.7,74.9,75,75.1
Mexico,75.1,75,75,74.9,74.9,74.9,74.9,74.9,75,75,75.1
Moldova,69.6,70.1,70.6,71,71.3,71.5,71.6,71.7,71.8,71.9,72
Mongolia,67.4,67.8,68.2,68.6,68.9,69.1,69.3,69.5,69.7,69.9,70
Monte Negro,75.2,75.5,75.8,76.1,76.3,76.5,76.6,76.7,76.8,76.9,77
Morocco,74.4,74.7,75,75.2,75.5,75.7,76,76.2,76.5,76.7,76.9
Mozambique,52.3,53,53.9,54.9,56.1,57.2,58.3,59.3,60.2,61,61.9
Myanmar,63.5,64,64.5,64.9,65.4,65.8,66.2,66.6,66.9,67.2,67.5
Namibia,56.7,58.1,59.4,60.5,61.4,62.1,62.6,63,63.4,63.7,64.1
Nepal,67.6,68,68.4,68.8,69.2,69.5,69.8,70.2,70.5,70.8,71.1
Nicaragua,72.4,72.7,73,73.2,73.4,73.6,73.9,74.1,74.3,74.5,74.7
Niger,57.3,58.1,58.8,59.5,60.1,60.6,61.1,61.6,62,62.4,62.9
Nigeria,50.9,51.3,51.8,52.2,52.7,53.1,53.5,54,54.3,54.7,55.1
North Macedonia,74.7,74.8,75,75.2,75.3,75.4,75.5,75.6,75.7,75.8,75.9
Pakistan,65.3,65.6,65.8,66.1,66.4,66.6,66.8,66.9,67.1,67.3,67.4
Palestine,72.8,72.9,73,73.2,73.3,73.4,73.6,73.7,73.9,74.1,74.2
Panama,76.8,77,77.2,77.4,77.6,77.8,78,78.1,78.3,78.5,78.7
Papua New Guinea,62,62.3,62.6,62.9,63.2,63.5,63.7,64,64.3,64.5,64.8
Paraguay,72.7,72.9,73.1,73.3,73.5,73.7,73.8,74,74.1,74.3,74.4
Peru,74.4,74.7,75,75.3,75.5,75.8,76,76.3,76.5,76.7,77
Philippines,69.8,70,70.1,70.3,70.5,70.6,70.8,71,71.1,71.2,71.4
Qatar,79.1,79.3,79.4,79.5,79.6,79.8,79.9,80,80.1,80.2,80.3
Rwanda,63.4,64.5,65.4,66.2,66.9,67.5,67.9,68.3,68.7,69.1,69.4
Sao Tome & Principe,67.4,67.9,68.3,68.7,69.1,69.4,69.7,69.9,70.2,70.4,70.6
Saudi Arabia,73.9,74.1,74.3,74.4,74.5,74.7,74.8,74.9,75,75.1,75.2
Senegal,64.3,64.9,65.4,65.9,66.4,66.7,67.1,67.4,67.7,68,68.2
Serbia,74.1,74.4,74.6,74.9,75.1,75.3,75.5,75.7,75.8,76,76.2
Sierra Leone,49.4,50.2,51,51.7,52.4,52.9,53.4,53.9,54.3,54.7,55.1
Somalia,51.7,51.1,50.7,51,51.6,52.4,52.9,53.4,53.9,54.4,54.9
South Africa,57.7,58.9,60.1,61.1,62,62.6,63.2,63.5,63.9,64.2,64.5
South Sudan,54.8,55.3,55.8,56.2,56.6,56.9,57.1,57.4,57.6,57.8,58.1
Sudan,62.8,63.2,63.5,63.9,64.2,64.4,64.7,64.9,65.1,65.3,65.5
Suriname,70.5,70.7,70.9,71,71.1,71.2,71.4,71.5,71.6,71.7,71.8
Syria,72.1,71.3,70.4,69.6,68.8,67.9,67.1,66.2,65.4,64.6,63.7
Tajikistan,68.7,69.1,69.3,69.6,69.9,70.1,70.4,70.6,70.9,71.1,71.3
Tanzania,58.6,59.5,60.5,61.4,62.3,63.1,63.8,64.5,65,65.6,66.1
Thailand,74.2,74.6,75,75.4,75.7,76.1,76.4,76.7,76.9,77.2,77.4
Timor Leste,67.2,67.5,67.7,68,68.2,68.5,68.7,69,69.3,69.5,69.8
Togo,57.5,58.1,58.7,59.2,59.6,59.9,60.2,60.5,60.8,61,61.3
Tonga,70.1,70.1,70.2,70.3,70.4,70.5,70.6,70.7,70.8,70.9,71
Trinidad & Tobago,71.9,72.2,72.4,72.6,72.8,72.9,73.1,73.2,73.4,73.5,73.7
Tunisia,75,75.2,75.4,75.6,75.7,75.9,76.1,76.3,76.5,76.7,76.9
Turkey,74.5,74.9,75.4,75.8,76.2,76.5,76.9,77.2,77.4,77.7,78
Turkmenistan,66.7,66.9,67.2,67.4,67.6,67.7,67.8,68,68.1,68.2,68.3
Uganda,57.1,58.1,59,59.9,60.7,61.4,62,62.5,63,63.4,63.9
Ukraine,69.4,69.9,70.5,70.9,71.3,71.5,71.7,71.8,72,72.1,72.2
Uruguay,76.8,76.9,77,77.1,77.2,77.4,77.5,77.6,77.8,77.9,78
Uzbekistan,69.7,69.9,70.2,70.4,70.7,70.9,71.2,71.4,71.6,71.8,71.9
Vanuatu,69.1,69.3,69.4,69.6,69.7,69.9,70,70.2,70.3,70.5,70.6
Venezuela,73.1,73.1,73,72.9,72.8,72.6,72.4,72.2,72.1,72,71.9
Vietnam,74.8,74.9,75,75,75.1,75.1,75.2,75.2,75.3,75.4,75.5
Yemen,65.5,65.8,65.9,66,66.1,66.1,66.1,66.1,66.1,66.1,66.1
Zambia,55.7,57.1,58.5,59.7,60.8,61.7,62.5,63,63.5,64,64.4
Zimbabwe,50.6,52.9,55,56.9,58.4,59.5,60.3,60.8,61.2,61.6,62
