Country,2010_SC,2011_SC,2012_SC,2013_SC,2014_SC,2015_SC,2016_SC,2017_SC,2018_SC,2019_SC,2020_SC
Albania,21.4,20,18.6,17.2,15.7,14.3,12.9,11.5,11.1,10.7,10.4
Algeria,17,16.2,15.4,14.7,13.9,13.1,12.3,11.6,10.8,10,9.67
Angola,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2
Armenia,20.6,18.7,16.9,15,13.1,11.3,9.4,9.09,8.77,8.46,8.15
Azerbaijan,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4
Bangladesh,42.5,41.2,39.6,37.9,36.3,34.6,33,31.3,29.7,28,27.1
Barbados,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Belarus,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Belize,19.8,19.3,18.8,18.2,17.7,17.1,16.6,16.1,15.5,15,14.4
Benin,47.3,48.3,46.1,43.8,41.6,39.4,37.2,34.9,32.7,31.6,30.5
Bhutan,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Bolivia,25.3,24.4,23.5,22.6,21.7,20.8,19.9,19,18.1,17.2,16.3
Bosnia Herzegovina,9.4,8.8,8.51,8.21,7.92,7.63,7.34,7.04,6.75,6.46,6.16
Botswana,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
Brazil,13,13,13,13,13,13,13,13,13,13,13
Burkina Faso,34.6,33.4,32.3,31.1,30,28.8,27.7,26.5,25.4,24.2,23.1
Burundi,57.7,57.4,57.2,56.9,56.6,56.3,56.1,55.8,55.5,55.3,55
Cambodia,39.1,37.3,35.6,33.8,32,30.9,29.9,28.8,27.7,26.7,25.6
Cameroon,32.6,32.1,31.7,31.2,30.8,30.4,30,29.5,29.1,28.7,28.2
Central African Republic CAR,40.8,40.7,40.6,40.5,40.4,40.4,40.3,40.2,40.1,40,39.9
