Country,2010_MUE,2011_MUE,2012_MUE,2013_MUE,2014_MUE,2015_MUE,2016_MUE,2017_MUE,2018_MUE,2019_MUE,2020_MUE
Afghanistan,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1
Albania,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83
Angola,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9
Armenia,18,18.3,18.7,19,19.4,19.7,20.1,20.4,20.8,21.1,21.4
Azerbaijan,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4
Bangladesh,12.2,13.5,12.5,11.4,10.3,9.8,9.31,8.82,8.33,7.84,7.35
Benin,10.4,11.1,11.5,12,12.4,12.9,13.3,13.7,14.2,14.6,15.1
Bolivia,32.6,33,33.5,34,34.4,34.9,35.4,35.8,36.3,36.8,37.2
Brazil,9.91,9.91,9.91,9.91,9.91,9.91,9.91,9.91,,,
Burkina Faso,5.15,5.52,5.89,6.27,6.64,7.01,7.38,7.76,8.13,8.5,8.88
Burundi,5.44,5.56,5.68,5.79,5.91,6.03,6.15,6.26,6.38,6.5,6.62
Cambodia,9.44,9.54,9.64,9.75,9.85,9.95,10.1,10.2,10.3,10.4,10.5
Cameroon,8.47,8.38,7.77,7.17,6.56,5.95,5.34,4.73,4.12,3.93,3.73
Central African Republic CAR,7.45,7.45,7.45,7.45,7.45,7.45,,,,,
Chad,16.3,14.2,12.2,10.1,8.1,6.06,5.77,5.48,5.2,4.91,4.62
Colombia,8.96,9.1,9.24,9.38,9.52,9.66,9.79,9.93,10.1,10.2,10.3
Comoros,24.7,26.1,27.6,29.1,30.5,32,33.4,34.9,36.3,37.8,39.3
Congo Brazzaville,12.2,10.8,10.3,9.78,9.27,8.76,8.24,7.73,7.21,6.7,6.18
Congo Democratic Republic,16.2,16.3,16.3,16.4,16.5,16.5,16.6,16.7,16.7,16.8,16.8
Cote d'Ivoire,7.02,8.18,9.33,10.5,11.6,12.8,14,15.1,16.3,17.4,18.6
Dominican Republic,14.3,14.2,14.2,14.1,14.1,14,13.9,13.9,13.8,13.8,13.7
Egypt,24.5,24.3,24.1,23.9,23.7,23.5,23.3,23.1,22.9,22.7,22.5
Eritrea,2.9,2.67,2.45,2.23,2.01,1.79,1.56,1.34,1.12,0.9,0.68
Eswatini,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6
