Country,2010_WLE,2011_WLE,2012_WLE,2013_WLE,2014_WLE,2015_WLE,2016_WLE,2017_WLE,2018_WLE,2019_WLE,2020_WLE
Afghanistan,28,28,28,28,28,28,28,28,28,28,28
Albania,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5
Angola,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
Armenia,39.2,39.1,39,38.9,38.8,38.7,38.6,38.5,38.3,38.2,38.1
Azerbaijan,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1
Bangladesh,77.5,79.3,69.2,59.1,49,46.7,44.3,42,39.7,37.3,35
Benin,67.6,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.6
Bolivia,60.1,59.4,58.7,58.1,57.4,56.7,56.1,55.4,54.7,54.1,53.4
Brazil,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,,,
Burkina Faso,40.1,42.2,44.2,46.2,48.3,50.3,52.3,54.4,56.4,58.4,60.5
Burundi,11.4,11.5,11.6,11.7,11.7,11.8,11.9,12,12.1,12.2,12.3
Cambodia,41.8,44.1,46.5,48.8,51.2,53.5,55.8,58.2,60.5,62.8,65.2
Cameroon,55.4,57.2,57,56.8,56.5,56.3,56.1,55.9,55.6,55.4,55.2
Central African Republic CAR,25.5,25.5,25.5,25.5,25.5,25.5,,,,,
Chad,48,51.3,54.5,57.7,61,64.2,67.4,70.6,73.9,77.1,80.3
Colombia,84.3,83.5,82.7,81.9,81.1,80.3,79.5,78.7,77.9,77.1,76.3
Comoros,45.5,44.4,43.3,42.1,41,39.9,38.8,37.6,36.5,35.4,34.3
Congo Brazzaville,46.3,44.1,42,39.9,37.8,35.7,33.6,31.5,29.4,27.3,25.2
Congo Democratic Republic,33.7,33.4,33.1,32.8,32.5,32.2,31.9,31.6,31.3,31,30.7
Cote d'Ivoire,60.1,62.3,64.5,66.6,68.8,71,73.1,75.3,77.5,79.7,81.8
Dominican Republic,77.8,78.1,78.5,78.8,79.2,79.5,79.9,80.2,80.5,80.9,81.2
Egypt,38,37.9,37.8,37.7,37.7,37.6,37.5,37.4,37.3,37.2,37.2
Eritrea,40.2,38.5,36.9,35.2,33.6,31.9,30.3,28.6,27,25.3,23.7
Eswatini,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
Ethiopia,57.9,58.1,57.9,57.6,57.3,57,56.7,56.5,56.2,55.9,55.6
Gabon,62,62.4,62.9,63.4,63.8,64.3,64.8,65.2,65.7,66.2,66.6
Gambia,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7
Ghana,61.4,61.7,62,62.3,62.6,62.9,63.2,63.5,63.8,64.1,64.4
Guatemala,74.9,75.1,75.3,75.5,75.7,75.9,76.1,76.3,76.5,76.7,76.9
Guinea,44.4,44.8,45.3,47.5,49.8,52.1,54.3,56.6,58.9,61.1,63.4
Guyana,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6
Haiti,81.5,82.1,82.6,82.6,82.5,82.4,82.3,82.3,82.2,82.1,82
Honduras,68.9,68.8,68.8,68.7,68.7,68.7,68.6,68.6,68.5,68.5,68.5
India,40.6,40.3,40,39.7,39.4,39.1,38.8,38.5,38.2,37.9,37.6
Indonesia,59.9,63,66.1,63.7,61.4,59,56.6,54.2,51.8,49.4,47
Jordan,27.1,28.4,29.7,30,30.2,30.4,30.7,30.9,31.1,31.4,31.6
Kazakhstan,62.6,63.4,64.2,65.1,65.9,66.7,67.5,68.3,69.1,69.9,70.7
Kenya,38.4,41.3,44.3,47.2,50.2,53.1,56.1,59.1,62,65,67.9
Kyrgyzstan,48.9,49.4,49.9,50.4,50.9,51.5,52,52.5,53,53.5,54
Lesotho,60.8,64.7,68.7,72.6,76.6,80.5,84.4,88.4,92.3,96.3,100
Liberia,42,42.2,42.4,42.5,42.7,42.9,43.1,43.3,43.5,43.6,43.8
Madagascar,24,22.8,21.6,20.4,19.2,18,16.8,15.6,14.4,13.2,12
Malawi,37.3,36.7,36.1,35.5,34.8,34.2,33.6,33,32.4,31.8,31.2
Maldives,67.8,66,64.2,62.3,60.5,58.7,56.8,55,53.2,51.4,49.5
Mali,56.1,57.5,59,60.4,60.2,60,59.8,59.6,59.4,59.2,59
Mauritania,75.7,75.7,75.7,75.7,75.7,75.7,75.7,75.7,75.7,75.7,75.7
Moldova,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
Morocco,50.6,50.1,49.5,48.9,48.3,47.7,47.1,46.6,46,45.4,44.8
Mozambique,35.8,37.8,39.9,41.9,43.9,45.9,48,50,52,54.1,56.1
Myanmar,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4
Namibia,73,74.5,76,77.6,79.1,80.7,82.2,83.8,85.3,86.9,88.4
Nepal,19,21.1,21.2,21.4,21.5,21.7,21.8,22,22.2,22.3,22.5
Nicaragua,78.9,79.5,80,80.5,81.1,81.6,82.1,82.7,83.2,83.8,84.3
Niger,77,80,83.1,86.1,89.1,92.2,95.2,98.2,101,104,107
Nigeria,69,70.9,72.8,74.7,77.4,80.2,83,85.7,88.5,91.3,94
Pakistan,58.2,59.2,60.2,59.4,58.7,57.9,57.2,56.5,55.7,55,54.2
Papua New Guinea,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2
Peru,56.8,55.8,54.9,53.9,52.9,51.9,50.9,49.9,48.9,48,47
Philippines,58.1,57.7,57.3,56.8,57.1,57.4,57.7,57.9,58.2,58.5,58.7
Rwanda,21.5,21.7,22,22.2,22.4,22.6,22.8,23,23.3,23.5,23.7
Sao Tome & Principe,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7
Senegal,69.9,70.7,62,64.5,66.9,56.3,56.3,59.9,57.2,62.7,68.1
Sierra Leone,42.3,43.8,45.3,46.7,45.3,43.8,42.4,40.9,39.5,38,36.6
South Africa,79.4,78.8,78.3,77.7,77.2,76.7,76.1,75.6,75.1,74.5,74
Tajikistan,73.3,68.8,64.2,59.7,55.1,50.5,46,41.4,39.4,37.5,35.5
Tanzania,31.4,32.8,34.1,35.5,36.9,38.3,39.6,41,42.4,43.7,45.1
Timor Leste,33.7,37.2,40.7,44.1,47.6,51.1,54.6,58,61.5,65,68.5
Togo,68.1,68.2,68.4,68.6,68.7,68.9,69,69.2,69.3,69.5,69.7
Turkey,59.8,61.8,63.7,65.7,67.6,69.6,71.6,73.5,75.5,77.4,
Uganda,28.9,30.7,32.8,34.9,37,39.2,41.3,43.4,45.5,47.6,49.7
Ukraine,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5
Uzbekistan,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,,,
Vietnam,34,34.4,34.8,35.3,35.7,36.1,36.5,36.9,37.3,37.8,38.2
Yemen,25.6,26.5,27.3,28.1,29,29.8,30.7,31.5,32.3,33.2,34
Zambia,45.5,45.3,45,44.8,44.5,46.7,48.9,51.2,53.4,55.6,57.8
Zimbabwe,68.2,70.8,71.2,71.6,72,72.3,72.7,73.1,73.4,73.8,74.2
