Country,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop
Afghanistan,29.2,30.2,31.3,32.3,33.4,34.4,35.5,36.5,37.6,38.6,39.6
Albania,2.92,2.91,2.91,2.9,2.89,2.89,2.88,2.87,2.87,2.86,2.85
Algeria,36.4,37,37.6,38.1,38.7,39.3,39.9,40.4,41,41.6,42.1
Angola,23.5,24.2,25.1,26.1,27,27.9,28.8,29.8,30.7,31.6,32.5
Argentina,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
Armenia,2.88,2.89,2.9,2.91,2.92,2.93,2.94,2.95,2.96,2.97,2.98
Azerbaijan,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.49
Bangladesh,148,149,151,153,155,156,158,160,162,163,165
Barbados,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Belarus,9.52,9.49,9.46,9.44,9.41,9.38,9.35,9.32,9.29,9.26,9.24
Belize,0.32,0.33,0.34,0.35,0.35,0.36,0.37,0.38,0.38,0.39,0.4
Benin,9.21,9.46,9.75,10,10.3,10.6,10.9,11.2,11.5,11.8,12.1
Bhutan,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
Bolivia,10,10.2,10.4,10.5,10.7,10.9,11,11.2,11.4,11.5,11.7
Bosnia Herzegovina,3.68,3.66,3.64,3.62,3.6,3.58,3.56,3.54,3.52,3.49,3.47
Botswana,1.98,2.02,2.04,2.06,2.09,2.11,2.14,2.16,2.18,2.21,2.23
Brazil,196,198,200,202,204,206,208,210,212,215,217
Burkina Faso,15.6,16,16.4,16.9,17.3,17.7,18.1,18.6,19,19.4,19.8
Burundi,8.68,8.98,9.29,9.6,9.91,10.2,10.5,10.8,11.1,11.4,11.7
Cambodia,14.3,14.6,14.8,15,15.3,15.5,15.8,16,16.2,16.5,16.7
Cameroon,20.4,20.9,21.5,22.1,22.8,23.4,24,24.6,25.2,25.8,26.4
Cape Verde,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Central African Republic CAR,4.39,4.45,4.52,4.59,4.66,4.72,4.79,4.86,4.93,4.99,5.06
Chad,12,12.4,12.8,13.2,13.7,14.1,14.5,15,15.4,15.8,16.3
Chili,17,17.2,17.4,17.5,17.7,17.9,18.1,18.2,18.4,18.6,18.7
