Country,2010_urb,2011_urb,2012_urb,2013_urb,2014_urb,2015_urb,2016_urb,2017_urb,2018_urb,2019_urb,2020_urb
Afghanistan,17.7,19.1,20.5,21.9,23.2,24.6,26,27.4,28.8,30.2,31.6
Albania,46.7,48.6,50.4,52.2,54,55.9,57.7,59.5,61.3,63.2,65
Algeria,62,62.5,63,63.5,63.5,63.5,63.5,63.5,63.4,63.4,63.4
Angola,43.7,41.1,45.8,50.4,55.1,59.8,64.5,66.1,67.7,69.3,70.9
Argentina,100,100,100,100,100,100,100,100,100,100,100
Armenia,61.9,61.4,60.9,60.4,59.9,59.5,59,58.5,58,57.5,57
Azerbaijan,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2
Bangladesh,23.9,24.3,25.3,26.3,27.3,26.1,25,23.9,22.8,21.7,20.7
Barbados,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4
Belarus,70.7,71.6,72.5,73.4,74.3,75.2,76.1,77,77.9,78.8,79.7
Belize,44.6,43.6,42.6,41.6,40.7,39.7,38.7,37.7,36.8,35.8,34.8
Benin,40.9,41.7,41.5,41.3,41.1,40.8,40.6,40.4,40.2,39.9,39.7
Bhutan,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
Bolivia,58.1,57.6,57.1,56.5,56,55.5,55,54.4,53.9,53.4,52.8
Bosnia Herzegovina,34.5,34.3,34.1,33.9,33.6,33.4,33.2,33,32.8,32.6,32.4
Botswana,60.4,61.4,62.3,63.2,64.2,65.1,66,67,67.9,68.8,69.8
Brazil,84.4,84.7,85.1,85.5,85.9,86.2,86.6,87,87.4,87.7,88.1
Burkina Faso,22.3,22.9,23.5,24.1,24.7,25.3,25.9,26.5,27.1,27.8,28.4
Burundi,9.94,10.1,10.3,10.4,10.6,10.7,10.9,11,11.2,11.3,11.5
Cambodia,17.8,17.3,16.8,16.3,15.8,15.3,14.8,14.3,13.8,13.3,12.8
Cameroon,47.7,47.5,48,48.5,49,49.4,49.9,50.4,50.9,51.3,51.8
Cape Verde,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3
Central African Republic CAR,38.9,38.5,38.1,37.8,37.4,37,36.7,36.3,35.9,35.6,35.2
Chad,23.4,23.2,23.1,22.9,22.7,22.6,21.7,20.8,19.9,19,18.2
Chili,85.6,85.5,85.4,85.3,85.1,85,84.9,84.8,84.6,84.5,84.4
China,48.7,49.7,52.4,55,56.1,57.1,58.2,59.3,60.3,61.4,62.4
Colombia,74.8,75.1,75.5,75.9,76.2,76.6,76.9,77.3,77.7,78,78.4
Comoros,30.9,31.1,31.4,31.6,31.8,32,32.3,32.5,32.7,32.9,33.2
Congo Brazzaville,62.4,64.4,65.1,65.9,66.6,67.3,68.1,68.8,69.5,70.3,71
Congo Democratic Republic,30.3,31.7,33.1,34.5,36.3,38.2,40.1,42,43.9,45.8,47.7
Costa Rica,57.6,59.3,60.9,62.6,64.2,65.9,67.5,69.2,70.8,72.1,73.4
Cote d'Ivoire,44.3,44.7,45.2,45.6,46,46.4,46.9,47.3,47.7,48.2,48.6
Cuba,75.5,74.4,73,71.5,70.1,68.7,67.3,65.9,64.5,63.1,61.7
Djibouti,96,96,96,96,96,96,96,96,96,96,96
Dominican Republic,71.5,72.2,72.9,73.7,74.4,75.1,75.9,76.6,77.3,78.1,78.8
Ecuador,62.6,63.2,63.8,64.4,65,65.7,66.3,66.9,67.5,68.1,68.7
Egypt,41,40.1,39.2,38.3,37.4,36.5,35.6,34.7,33.8,32.9,32
El Salvador,62.2,62.7,63.1,62.5,61.9,61.4,60.8,60.2,59.6,59,58.4
Equatorial Guinea,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7
Eritrea,50.6,52.2,53.7,55.3,56.9,58.4,60,61.6,63.1,64.7,66.3
Eswatini,23.2,24.1,24.9,25.8,26.7,27.6,28.4,29.3,30.2,31,31.9
Ethiopia,17.1,18.1,17.6,17.1,16.6,16.1,15.6,15.1,14.6,14.1,13.6
Fiji,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7
Gabon,82.4,83.3,84.2,84.9,85.6,86.3,87,87.8,88.5,89.2,89.9
Gambia,45.7,47.4,49,50.7,54.1,57.5,60.9,64.2,67.6,69.1,70.5
Georgia,52.6,53.4,54.3,55.2,56,56.9,57.7,58.6,59.4,60.3,61.1
Ghana,46.8,48.3,48.7,49.1,49.5,48.4,47.2,46.1,45,43.8,42.7
Guatemala,47.3,47.4,47.6,45.9,44.2,42.5,40.8,39.2,37.5,35.8,34.1
Guinea,31.7,32.2,32.6,33,33.3,33.7,34,34.4,34.8,35.1,35.5
Guinea Bissau,39.7,40.8,41.9,43,44,42.4,40.7,39,37.4,35.7,34.1
Guyana,27.5,27.4,27.4,27.3,27.2,27.2,27.1,27.1,27,26.9,26.9
Haiti,39.6,39.9,40.2,40,39.9,39.7,39.5,39.3,39.1,38.9,38.8
Honduras,48.5,48.8,49.1,49.4,49.8,50.1,50.4,50.7,51.1,51.4,51.7
India,31.4,31.5,31.6,32,32.3,32.7,33,33.4,33.8,34.1,34.5
Indonesia,46.9,48.4,49.8,49.7,49.7,49.6,49.6,49.5,49.5,49.4,49.4
