GNI,DR,SC,3BD,HOS,LifeEx,pop,urb,WLE,WUE,MYE,MAE,MLE,MUE,WAE
10,54.0,21.4,23.2,4.58,76.6,2.92,46.7,55.5,22.6,9.45,21.6,69.6,8.83,22.0
6,99.7,37.2,22.9,6.3,55.4,23.5,43.7,46.4,7.26,5.57,34.5,45.5,19.9,46.3
7,43.8,20.6,28.5,4.55,73.3,2.88,61.9,39.2,46.7,11.4,9.63,72.4,18.0,14.1
15,50.9,26.4,13.8,5.02,70.9,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
3,68.5,42.5,27.1,6.09,69.9,148.0,23.9,77.5,12.2,4.44,29.4,58.3,12.2,10.3
2,111.0,47.3,22.4,6.82,59.3,9.21,40.9,67.6,2.96,3.07,50.5,39.1,10.4,29.4
5,78.9,25.3,17.1,4.95,68.0,10.0,58.1,60.1,14.0,7.98,25.4,42.1,32.6,25.9
1,111.0,34.6,39.9,7.82,57.1,15.6,22.3,40.1,1.61,1.62,70.3,24.5,5.15,58.3
1,98.4,57.7,37.8,5.97,57.2,8.68,9.94,11.4,3.77,2.91,65.5,29.1,5.44,84.8
3,61.8,39.1,7.86,5.66,66.6,14.3,17.8,41.8,4.86,4.78,51.0,39.6,9.44,53.3
3,94.7,32.6,40.9,7.54,55.1,20.4,47.7,55.4,1.87,5.81,39.5,52.0,8.47,42.7
2,122.0,38.7,26.3,7.37,50.9,12.0,23.4,48.0,3.85,2.17,58.7,25.0,16.3,48.1
11,55.5,12.5,39.8,4.89,75.4,45.2,74.8,84.3,8.94,7.94,23.5,67.5,8.96,6.73
2,86.5,31.6,36.0,7.01,61.9,0.69,30.9,45.5,29.0,4.82,32.1,43.2,24.7,25.4
4,84.5,24.4,21.0,5.66,60.1,4.27,62.4,46.3,3.99,7.79,37.7,50.2,12.2,49.7
1,102.0,43.4,29.5,6.78,56.9,64.6,30.3,33.7,3.61,6.04,52.8,31.0,16.2,62.7
2,86.2,29.9,30.3,7.7,53.0,20.6,44.3,60.1,1.45,3.66,55.4,37.6,7.02,38.4
11,61.6,8.55,35.7,4.67,72.0,9.69,71.5,77.8,20.4,8.08,17.3,68.5,14.3,1.76
10,60.6,27.7,18.7,5.71,70.3,83.2,41.0,38.0,47.8,7.71,16.7,58.8,24.5,14.2
2,123.0,42.2,2.66,6.6,62.2,2.8,50.6,40.2,7.75,4.61,24.9,73.2,2.9,52.0
8,89.0,31.0,27.2,6.5,46.6,1.07,23.2,77.8,12.7,7.71,12.5,69.9,17.6,9.46
1,99.7,45.3,4.42,5.98,61.6,87.8,17.1,57.9,4.61,2.54,67.7,26.4,5.92,37.5
14,77.4,18.2,34.7,6.9,61.4,1.66,82.4,62.0,13.6,7.71,15.1,61.2,23.7,24.4
1,93.9,25.7,54.4,13.1,59.6,1.8,45.7,44.7,4.96,3.99,33.2,52.9,13.9,50.3
3,87.5,24.5,15.5,5.45,61.0,24.8,46.8,61.4,5.3,6.51,45.9,42.6,11.4,33.3
7,79.5,48.8,22.8,3.64,71.5,14.6,47.3,74.9,12.8,6.5,45.5,46.6,7.9,12.3
2,109.0,33.3,48.8,8.45,56.9,10.2,31.7,44.4,1.92,2.56,53.9,38.4,7.72,53.7
6,61.8,18.1,30.0,5.05,68.1,0.75,27.5,65.6,23.3,8.32,21.3,69.1,9.64,11.1
2,73.9,23.3,14.8,5.92,60.5,9.95,39.6,81.5,7.03,5.09,42.0,43.4,14.6,11.4
4,71.0,23.5,22.2,5.77,73.3,8.31,48.5,68.9,13.3,6.18,44.3,45.9,9.87,17.8
5,59.1,43.8,19.2,6.02,66.7,1232.0,31.4,40.6,9.97,5.65,30.1,60.8,9.05,49.4
9,67.0,11.2,33.9,6.45,73.4,7.36,82.6,27.1,70.7,10.4,2.9,75.0,22.1,2.22
18,48.7,13.1,23.6,4.55,67.4,16.3,53.6,62.6,49.0,11.7,7.51,69.0,23.5,1.55
3,91.7,32.3,18.4,5.66,61.0,42.1,24.4,38.4,26.1,7.59,28.0,45.6,26.4,35.5
3,62.5,19.1,28.0,5.45,68.8,5.48,34.0,48.9,46.7,11.4,18.6,62.2,19.2,4.38
3,69.5,37.7,14.3,6.08,45.1,2.0,23.3,60.8,10.7,6.5,28.6,65.1,6.35,28.5
1,97.4,34.4,33.2,6.7,59.6,3.86,46.8,42.0,2.81,4.82,50.3,38.2,11.5,55.2
1,96.5,48.7,6.93,5.89,63.4,21.2,15.2,24.0,3.8,4.16,71.7,23.7,7.57,74.3
1,110.0,47.2,22.0,5.82,55.6,14.5,15.9,37.3,1.79,5.15,47.3,47.6,5.07,60.9
11,55.3,17.5,49.6,8.2,75.9,0.37,33.7,67.8,27.3,5.87,23.8,58.1,18.1,4.86
2,116.0,38.1,42.4,7.46,55.3,15.1,25.4,56.1,1.44,1.64,57.2,35.8,7.01,42.5
3,95.8,30.2,21.7,7.53,62.5,3.5,43.2,75.7,7.44,4.63,26.8,62.7,10.5,16.9
5,46.4,7.63,17.3,3.36,69.6,3.57,37.7,50.3,34.9,11.0,15.8,69.4,14.8,14.8
7,47.1,19.1,29.6,7.34,74.4,32.6,57.7,50.6,15.9,6.37,25.0,61.9,13.1,33.4
1,107.0,43.7,24.8,5.85,52.3,23.6,31.8,35.8,6.29,3.5,40.8,50.7,8.46,57.9
4,56.4,32.9,14.0,5.56,63.5,50.7,26.0,70.4,9.11,5.31,26.0,65.7,8.35,20.5
9,76.8,24.5,43.2,6.54,56.7,2.12,44.5,73.0,16.2,7.68,20.1,63.2,16.7,10.8
2,74.4,42.0,29.6,5.96,67.6,26.8,13.7,19.0,4.18,3.72,29.2,63.0,7.78,76.8
4,56.3,17.6,20.4,3.39,72.4,5.83,58.4,78.9,10.3,7.22,32.7,61.9,6.22,10.8
1,141.0,46.8,24.4,7.93,57.3,16.6,16.9,77.0,6.22,1.14,48.4,46.2,5.41,16.8
5,96.0,38.9,29.6,6.68,50.9,159.0,35.9,69.0,6.78,6.16,41.9,46.8,11.2,24.2
4,77.9,45.5,21.9,9.09,65.3,179.0,33.3,58.2,11.2,4.54,16.4,72.1,11.5,30.5
3,79.5,43.5,37.6,6.45,62.0,8.44,11.5,45.2,14.7,5.35,31.4,44.7,23.8,40.1
10,60.4,23.0,25.3,4.95,74.4,29.0,68.6,56.8,12.9,8.87,34.4,52.0,13.7,30.2
1,90.7,44.1,30.7,5.52,63.4,10.0,13.4,21.5,2.38,4.0,69.9,26.1,4.01,76.1
3,95.6,21.5,19.1,5.17,67.4,0.18,54.1,79.7,4.59,5.06,22.7,70.6,6.7,15.7
3,94.7,26.9,66.3,13.6,64.3,12.7,44.7,69.9,1.07,2.69,34.3,61.8,3.9,29.0
1,108.0,36.9,48.7,7.47,49.4,6.43,32.2,42.3,5.23,2.79,54.9,34.9,10.2,52.5
12,54.4,26.1,28.7,4.8,57.7,51.4,62.5,79.4,17.7,9.09,6.06,79.0,14.9,2.97
3,67.7,28.6,41.2,7.78,68.7,7.56,25.0,73.3,26.1,10.3,2.96,79.8,18.2,6.26
2,102.0,41.8,33.5,6.86,58.6,44.3,23.1,31.4,2.96,5.17,60.4,32.8,6.85,65.6
8,93.9,55.6,51.0,7.03,67.2,1.09,24.2,33.7,6.28,5.3,57.6,25.8,16.6,60.0
1,92.9,27.7,27.3,6.73,57.5,6.45,38.0,68.1,1.0,4.6,49.3,46.2,4.51,30.9
2,119.0,34.1,24.5,6.61,57.1,32.5,14.4,28.9,5.34,5.62,62.8,28.3,8.9,65.7
4,48.9,22.7,24.0,4.5,74.8,88.0,29.6,34.0,10.3,8.32,49.0,43.7,7.24,55.7
4,88.1,46.3,30.8,8.92,65.5,23.2,30.8,25.6,15.1,4.76,22.5,64.3,13.2,59.3
3,109.0,43.2,19.9,6.43,55.7,13.7,37.3,45.5,5.85,6.73,47.5,43.7,8.73,48.6
2,89.3,32.1,25.0,5.63,50.6,12.7,30.9,68.2,8.3,8.11,22.0,68.0,10.1,23.5
10,53.5,20.0,22.8,4.51,76.9,2.91,48.6,55.5,22.6,9.76,21.6,69.6,8.83,22.0
6,99.3,37.2,23.7,6.31,56.3,24.2,41.1,46.4,7.26,5.77,34.5,45.5,19.9,46.3
8,44.5,18.7,28.5,4.55,73.6,2.89,61.4,39.1,45.6,11.4,10.0,71.6,18.3,15.3
15,50.9,26.4,13.8,5.02,71.2,8.49,55.2,33.1,49.0,10.6,13.1,66.5,20.4,17.9
3,67.8,41.2,27.7,5.97,70.3,149.0,24.3,79.3,13.6,4.57,29.6,56.9,13.5,7.1
2,111.0,48.3,21.3,6.74,59.6,9.46,41.7,69.7,3.23,3.17,49.6,39.3,11.1,27.1
5,78.4,24.4,17.3,4.86,68.5,10.2,57.6,59.4,14.2,8.07,25.0,42.0,33.0,26.4
