Country,2010_MAE,2011_MAE,2012_MAE,2013_MAE,2014_MAE,2015_MAE,2016_MAE,2017_MAE,2018_MAE,2019_MAE,2020_MAE
Afghanistan,,,28.4,28.4,28.4,28.4,28.4,28.4,28.4,,
Albania,,,,,21.6,21.6,21.6,21.6,21.6,21.6,21.6
Angola,,,,34.5,34.5,34.5,34.5,34.5,34.5,34.5,
Armenia,9.63,10,10.4,10.9,11.3,11.7,12.1,12.5,12.9,13.3,
Azerbaijan,,,,,,,,,,,
Bangladesh,29.4,29.6,29,28.3,27.7,27.1,26.5,25.9,,,
Benin,50.5,49.6,49,48.5,48,47.4,46.9,46.3,45.8,45.2,44.7
Bolivia,25.4,25,,,,,,,,,
Brazil,,,,,,,,,,,
Burkina Faso,70.3,69.3,68.4,67.4,,,,,,,
Burundi,65.5,65.2,64.8,64.5,64.2,63.9,63.6,63.3,63,62.6,62.3
Cambodia,51,49.9,48.9,47.9,46.8,45.8,44.7,43.7,,,
Cameroon,39.5,39,39.4,39.9,40.3,40.7,41.1,41.5,41.9,42.3,42.7
Central African Republic CAR,,,,,,,,,,,
Chad,58.7,59.7,60.6,61.5,62.4,63.3,64.2,65.1,66.1,,
Colombia,23.5,23.5,23.5,23.5,,,,,,,
Comoros,32.1,31.8,31.5,31.2,30.9,30.6,,,,,
Congo Brazzaville,37.7,40.5,43.2,46,48.8,,,,,,
Congo Democratic Republic,52.8,53.6,54.5,55.4,56.2,57.1,57.9,,,,
Cote d'Ivoire,55.4,56.6,57.8,59,60.2,,,,,,
Dominican Republic,17.3,15.8,14.4,12.9,11.4,9.99,8.53,,,,
Egypt,16.7,15.9,15.1,14.2,13.4,12.6,11.8,10.9,,,
Eritrea,,,,,,,,,,,
Eswatini,,,,,,,,,,,
Ethiopia,67.7,66.7,65.3,63.8,62.4,60.9,59.5,58,56.6,55.1,
Gabon,15.1,14.8,14.4,14.1,13.8,13.4,,,,,
Gambia,33.2,33.2,33.2,33.2,33.2,33.2,33.2,,,,
