Country,2010_MUE,2011_MUE,2012_MUE,2013_MUE,2014_MUE,2015_MUE,2016_MUE,2017_MUE,2018_MUE,2019_MUE,2020_MUE
Afghanistan,,,23.1,23.1,23.1,23.1,23.1,23.1,23.1,,
Albania,,,,,8.83,8.83,8.83,8.83,8.83,8.83,8.83
Angola,,,,19.9,19.9,19.9,19.9,19.9,19.9,19.9,
Armenia,18,18.3,18.7,19,19.4,19.7,20.1,20.4,20.8,21.1,
Azerbaijan,,,,,,,,,,,
Bangladesh,12.2,13.5,12.5,11.4,10.3,9.21,8.13,7.04,,,
Benin,10.4,11.1,11.5,12,12.4,12.9,13.3,13.7,14.2,14.6,15.1
Bolivia,32.6,33,,,,,,,,,
Brazil,,,,,,,,,,,
Burkina Faso,5.15,5.52,5.89,6.27,,,,,,,
Burundi,5.44,5.56,5.68,5.79,5.91,6.03,6.15,6.26,6.38,6.5,6.62
Cambodia,9.44,9.54,9.64,9.75,9.85,9.95,10.1,10.2,,,
Cameroon,8.47,8.38,7.77,7.17,6.56,5.95,5.34,4.73,4.12,3.51,2.91
Chad,16.3,14.2,12.2,10.1,8.1,6.06,4.04,2.03,0.01,,
Colombia,8.96,9.1,9.24,9.38,,,,,,,
Comoros,24.7,26.1,27.6,29.1,30.5,32,,,,,
Congo Brazzaville,12.2,10.8,9.46,8.11,6.76,,,,,,
Congo Democratic Republic,16.2,16.3,16.3,16.4,16.5,16.5,16.6,,,,
Cote d'Ivoire,7.02,8.18,9.33,10.5,11.6,,,,,,
Dominican Republic,14.3,14.2,14.2,14.1,14.1,14,13.9,,,,
Egypt,24.5,24.3,24.1,23.9,23.7,23.5,23.3,23.1,,,
Eritrea,,,,,,,,,,,
Eswatini,,,,,,,,,,,
Ethiopia,5.92,6.09,6.75,7.42,8.08,8.75,9.41,10.1,10.7,11.4,
Gabon,23.7,23.1,22.5,21.9,21.4,20.8,,,,,
Gambia,13.9,13.9,13.9,13.9,13.9,13.9,13.9,,,,
Ghana,11.4,11.8,12.1,12.5,12.8,13.2,13.5,13.8,,,
Guatemala,7.9,8.05,8.19,8.33,8.47,8.61,8.75,8.89,9.03,,
Guinea,7.72,7.52,7.33,7.52,7.72,7.91,8.11,8.3,8.5,8.69,8.89
Guyana,9.64,9.64,9.64,,,,,,,,
Haiti,14.6,14.6,14.6,14.9,15.1,15.4,15.6,15.9,16.1,16.4,16.6
Honduras,9.87,10.5,11.1,11.7,12.3,,,,,,
India,9.05,8.93,8.81,8.69,8.57,8.45,8.33,8.21,8.09,7.97,
Indonesia,8.76,9.35,9.93,9.9,9.87,9.85,9.82,9.79,9.76,9.73,9.7
Jordan,22.1,21.9,21.7,21.7,21.8,21.8,21.8,21.8,21.8,21.8,21.8
Kazakhstan,,,,,,,,,,,
Kenya,26.4,24.1,21.8,19.4,17.1,14.8,12.5,10.1,,,
Kyrgyzstan,19.2,19.4,19.6,19.9,20.1,20.3,,,,,
Lesotho,6.35,6.77,7.19,7.62,8.04,8.46,8.88,9.3,,,
Liberia,11.5,11.6,11.8,11.9,12,12.1,12.3,,,,
Madagascar,7.57,7.83,8.09,,,,,,,,
Malawi,5.07,6.03,7,7.97,8.94,9.91,10.9,11.8,12.8,13.8,
Maldives,18.1,19.4,20.7,22.1,23.4,24.8,26.1,27.4,28.8,30.1,31.5
